id	text	aspect	polarity
97	spice is sleek modern and cool with a menu that will not hurt your wallet	ambience	1
98	get over it	anecdotes miscellaneous	0
99	i had the pad thai and the noodles were sticky	food	-1
100	overall i would recommend it and go back again	anecdotes miscellaneous	1
101	they ve the best desserts and mixed drinks as well as snack foods	food	1
102	i d call it an italian dinner	anecdotes miscellaneous	0
103	get the tuna of gari	food	1
104	orsay is a very pleasnt throw back to traditional french food and french service as well	service	1
105	the pizza is good though	food	1
106	i live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of the pizza place at am	anecdotes miscellaneous	1
107	not a great place for family or general dining	anecdotes miscellaneous	-1
108	while the place is not a hotspot hangout the drinks are unique and pack a lot of bang for the buck	price	1
109	it was pretty inexpensive too	price	1
110	would never go back there	anecdotes miscellaneous	-1
111	anyway the food is good the price is right and they have a decent wine list	food	1
112	we will come back	anecdotes miscellaneous	1
113	they never brought us complimentary noodles ignored repeated requests for sugar and threw our dishes on the table	service	-1
114	this is my fourth try over a two year period and i am done	anecdotes miscellaneous	-1
115	good fast service	service	1
116	the thali was small thoroughly unremarkable and	food	-1
117	not too crazy about their sake martini	food	-1
118	the prices and ambience are especially great considering it is in the west village	ambience	1
119	because we didn t have a reservation we could only sit in the back garden but it was great secluded and perfect in nice weather	ambience	1
120	we had crawfish boiled and despite making a mess it was a ton of fun and quite tasty as well	food	1
121	excellent lunch buffet for only	price	1
122	it is terrific as is the value	food	1
123	in addition the food is very good and the prices are reasonable	price	1
124	ambiance and music funky which i enjoy	ambience	1
125	it melted in my little mouth and the perfect consistency not too fishy creamy and slightly buttery	food	1
126	i like the ambience it is very dark and original	ambience	1
127	in an area sadly lacking in decent thai food this is one of the best spots	food	1
128	prices are higher to dine in and their chicken tikka marsala is quite good	price	-1
129	it is usually packed for good reason esp	anecdotes miscellaneous	0
130	always full with tourists especially because of it is close proximity to rockefeller center	ambience	0
131	i just do not understand all the hype	anecdotes miscellaneous	-1
132	the food was absolutely amazing	food	1
133	the service was typical short order dinner type	service	0
134	however in the summer of it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup	ambience	-1
135	and their prices are very high they actually think that they can get away with charging such prices for such terrible food and service	service	-1
136	my turkey burger was not cooked at all my friends salmon was completely raw	food	-1
137	the problem is just that it is a sometimes kind of affair	anecdotes miscellaneous	0
138	try the crunchy tuna it is to die for	food	1
139	we ate at this thai place following the reviews but very unhappy with the foods	food	-1
140	i can not wait to go back	anecdotes miscellaneous	1
141	if you are looking for a great meal at a decent price go to del frisco	food	1
142	as soon as my father lifted his pen from the check a chef appeared to usher us out	service	-1
143	we were treated with attitude ever since the moment we stepped into the restaurant	service	-1
144	we came here on a crowded saturday night and were seated right away despite being minutes late for our reservation	service	1
145	late nite omelletes are not good here there is no variety	food	-1
146	very good service and very good prices	price	1
147	everytime my husband and i go there we are never disappointed	anecdotes miscellaneous	1
148	the waitress remembers me and is very friendly she knows what my regular is and that is the fried mini buns with the condensed milk and the assorted fruits on beancurd	service	1
149	i have had the chicken with garlic sauce chicken with black bean sauce and hunan chicken	food	0
150	there is a real gallery of stars that have visited	ambience	0
151	i have been to mary many times and i like it	anecdotes miscellaneous	1
152	i also recommend the rice dishes or the different varieties of congee rice porridge	food	1
153	was surprisingly disappointed	anecdotes miscellaneous	-1
154	however in the summer of it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup	service	0
155	being a fan of spicy ethnic foods indian included i made friends with this place long ago	food	1
156	for those prices and the dressed up atmosphere you expect more and should get more	price	-1
157	the food is wonderful tasty and filling and the service is professional and friendly	service	1
158	if anyones has doubt of not knowing enough about wines please check their wine list	food	1
159	the main course had an average portion and was decent overall	food	1
160	a bit breezy up there on the mezzanine from the wind coming from the tracks	ambience	-1
161	from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic	service	1
162	i will have to say this bengali fast food joint is clearly my favorite	anecdotes miscellaneous	1
163	i had a huge group for my birthday and we were well taken care of	service	1
164	we both opted for a pasta dish and they were served timely and fresh	service	1
165	they offer the same menu but have creative drinks that are loaded with alcohol and cheeky names but they do cost you	price	-1
166	it took them minutes to put water in our glasses	service	-1
167	the steak was very fatty and the sauce was overpowering and not very tasty	food	-1
168	a one women show	anecdotes miscellaneous	0
169	we have only eaten in the restaurant once but we have ordered many times for dinner	anecdotes miscellaneous	0
170	the food is tasty and portion sizes are appropriate	food	1
171	among all of the new th avenue restaurants this offers by far one of the best values for your money	price	1
172	also do not plan on asking for your favorite roll if it is not on the menu you can not have it	service	-1
173	and their prices are very high they actually think that they can get away with charging such prices for such terrible food and service	food	-1
174	if you are looking for perfect traditional sushi go here if you are looking for interesting combinations try sushi of gari east side	food	1
175	i ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime	food	-1
176	personal pans are the perfect size for those hungry nights	food	1
177	i am relatively new to the area and tried pick a bgel on nd and was disappointed with the service and i thought the food was overated and on the pricey side	anecdotes miscellaneous	0
178	unbelievable	anecdotes miscellaneous	1
179	be careful when they say spicy they mean it	anecdotes miscellaneous	0
180	while the food was good certainly no il mulino the service was horrendous	service	-1
181	a cool place to hang with your friends for a couple of healthy drinks and desserts	ambience	1
182	the wait staff is pleasant fun and for the most part gorgeous in the wonderful aesthetic beautification way not in that she is way cuter than me that b way	service	1
183	when we were finally seated our waitress came by twice for our order and for our check	service	-1
184	odd for ave b not just odd the place attracts an eclectic crowd to say the least	ambience	0
185	i loved everythig about it especially the shows and actors	ambience	1
186	but the staff was so horrible to us	service	-1
187	simple comfort food and what hot and lage portions	food	1
188	the food was just ok i would never go back	food	0
189	i ate here a week ago and found most dishes average at best and too expensive	food	-1
190	the best pad thai i have ever had	food	1
191	the have over different beers to offer thier guest so that made my husband very happy and the food was delicious if i must recommend a dish it must be the pumkin tortelini	food	1
192	salads are a delicious way to begin the meal	food	1
193	i recommend this spot to anyone who enjoys fine cuisine at reasonable prices	price	1
194	i ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil	food	1
195	the service was poor restaurant poorly lit staff not very attentive and i would have rather eaten at a mcdonald than this joint	service	-1
196	this is a fun restaurant to go to	anecdotes miscellaneous	1
197	great food good size menu great service and an unpretensious setting	food	1
198	the wait staff is friendly and the food has gotten better and better	service	1
199	went inside and i started to get excited	anecdotes miscellaneous	1
200	the service was ok	service	0
201	the decor is vibrant and eye pleasing with several semi private boths on the right side of the dining hall which are great for a date	ambience	1
202	during the course of the past months the chef and staff changed and it was not for the better	food	-1
203	pizza and garlic knots are great as well i order from them quite often and the delivery is always super quick	food	1
204	my friends spoke so much about it for months i finally made the time to come down ear and dine in	anecdotes miscellaneous	0
205	service was devine oysters where a sensual as they come and the price can not be beat	price	1
206	and never strayed	anecdotes miscellaneous	1
207	my friends and i were on vacation in ny and was referred to chance by a friend	anecdotes miscellaneous	0
208	we ran a little late for the reservation but it was not a problem to get our table immediately	service	1
209	overall i am still impressed that the place even exists and the prices are quite decent but then again its chinatown	price	1
210	when i am feeling stressed by the noise and congestion around my office i head for cafe st bart	anecdotes miscellaneous	0
211	their tuna tartar appetizer is to die for	food	1
212	just wish they d expand	anecdotes miscellaneous	0
213	oh but wait we were out of drinks which were also delightfully overpriced	price	-1
214	we were on our way back to nj and since i am in ny we figured why not grab some food	anecdotes miscellaneous	0
215	even the pasta is delicious here a rarity in new york pizza restaurants	food	1
216	the service is friendly if not the most prompt in the world the food is great and the prices while not cheap will not put your wallet out of commission	service	1
217	and cheap	price	1
218	the bar has various selections and the mixed drink special is a catcher for	food	1
219	it is definitely special and affordable	anecdotes miscellaneous	1
220	the ambience is very calm and quiet	ambience	1
221	this is the best sushi in new york city hands down	food	1
222	my six year old loved it	anecdotes miscellaneous	1
223	the crust is thin the ingredients are fresh and the staff is friendly	food	1
224	having been a long time ess a bagel fan i was surpised to find myself return time and time again to murray	anecdotes miscellaneous	1
225	i have lived in japan for years and the taste of the food and the feel of the restaurant is like being back in japan	food	1
226	will not be back	anecdotes miscellaneous	-1
227	decor is nice and minimalist food simple yet very well presented and cooked and the wine list matches the food very well	ambience	1
228	quality ingredients preparation all around and a very fair price for nyc	food	1
229	there is a lot of variety even for people who eat vegetarian like me	food	1
230	its location is good and the fact that hutner college is near and their prices are very reasonable makes students go back to suan again and again	ambience	1
231	i d definitely recommend this little place	anecdotes miscellaneous	1
232	his wife tanya the hostess completes the comforting atmosphere by being delightfully warm and gracious	ambience	1
233	the place is larger than most and features adequate seating unlike most joints and has a bar which deserves a mention	ambience	1
234	do not eat here unless you are starving for thai food and you work next door	anecdotes miscellaneous	-1
235	we were not dissappointed in the least bit by this little gem	anecdotes miscellaneous	1
236	this is one of my favorite restaurants and it is not to be missed	anecdotes miscellaneous	1
237	they forgot a sandwich didn t include plastic forks and didn t include pita with the hummus platter	service	-1
238	just bring someone who speaks cantonese because waiter may not understand you	service	-1
239	i brought some buddies from ca and they loved it	anecdotes miscellaneous	1
240	three of us arrived for dinner about on a week night without reservations	anecdotes miscellaneous	0
241	although we were looking for regular lettuce and some walnuts the salads we got were great	food	1
242	do not go there	anecdotes miscellaneous	-1
243	overall a solid restaurant and at less than pp including wine a solid deal as well	price	1
244	the sides were ok and incredibly salty	food	-1
245	the food is okay and the prices here are mediocre	price	0
246	no more reservations expensive tips and annoying stuff	service	1
247	i have been to sapphire twice and both times the food was fine if not good	food	1
248	i went to df for valentines day dinner	anecdotes miscellaneous	0
249	this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time	ambience	1
250	it is a really great deal considering we got full off of four dollars	price	1
251	great pizza and fantastic service	service	1
252	the overall price tag was very very expensive something i did expect	price	-1
253	i actually gave patroon another chance before writing this but the second visit was even worse	anecdotes miscellaneous	-1
254	for some reason all the seafood on the menu was unavailable except for the salmon	food	-1
255	the service was mediocre and the lack of air conditioning made for a less than comfortable meal	service	0
256	nevertheless the food itself is pretty good	food	1
257	i had to ask her three times before she finally came back with the dish ive requested	service	-1
258	the steak was excellent and one of the best i have had i tasted the butter intitally but in no way did it overwhelm the flavor of the meat	food	1
259	great eats good times	food	1
260	the chicken and steak were seasoned and cooked to perfection and the lamb sandwhich is great for heartier appetites	food	1
261	the catch is that you are charged extra for anything that you leave on your plate so do not be a greedy pig	price	-1
262	went there for an office lunch	anecdotes miscellaneous	0
263	behind this counter two men are squeezed in	ambience	-1
264	in china the phrase for a good restaurant is hot and loud	anecdotes miscellaneous	0
265	rao has the best service and atmosphere in nyc	ambience	1
266	the pizza is the best if you like thin crusted pizza	food	1
267	amma is nothing special	anecdotes miscellaneous	-1
268	the staff is not the friendliest or most competent and i am stickler for service but everything else about this place makes up for it	service	-1
269	great pizza and fantastic service	food	1
270	but after last night spice grill is the only place i am eating indian cuisine	food	1
271	for my birthday and we had an excellent time	anecdotes miscellaneous	1
272	try the times square cocktail ginger lemonade with vodka also available without vodka	food	1
273	the food is wonderful tasty and filling and the service is professional and friendly	food	1
274	decent thai food in cute though a bit dank little nolita hangout but service terrible	food	1
275	i love it	anecdotes miscellaneous	1
276	i highly recommend it	anecdotes miscellaneous	1
277	sometimes i get bad food and bad service sometimes i get good good and bad service	service	-1
278	warning you may find it difficult to dine at other japanese restaurants after a visit to mizu	anecdotes miscellaneous	1
279	the service is a little scatty at times but all is forgiven when the food arrives	service	-1
280	in an effort to increase turnover the restaurant offers no desserts beyond the complimentary espresso cup filled with chocolate mousse	service	0
281	coming from boston this place is like emma pizza in kendall square in cambridge although they have more funky toppings	anecdotes miscellaneous	0
282	average to good thai food but terrible delivery	service	-1
283	we had great desserts including the best cannoli i have ever had and then they offered an after dinner drink on the house	food	1
284	it is the perfect restaurant for ny life style it got cool design awsome drinks and food and lot of good looking people eating and hanging at the pink bar	food	1
285	delicious food excellent service and a pretty atmosphere make this a great choice for dinner and the lunch buffet makes it an even better choice for lunch	food	1
286	the food was very expensive we spent for lunch for two but extremely tasty	food	1
287	meanwhile the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil gratis	service	1
288	while the room is not particularly comfortable once you are seated you ll forget about everything except what on your plate	food	1
289	after being told that our party of three would be seated in minutes and watching other parties multiples of and higher seated for minutes the three of us were squished into a small person table	service	-1
290	get your food to go find a bench and kick back with a plate of dumplings	anecdotes miscellaneous	1
291	fantastic	anecdotes miscellaneous	1
292	service was slow had to wait to order and get food although not crowded	service	-1
293	try the spicy shrimp appetizer again not the greatest value in the world but worth the price and the lamb vindaloo is great	food	1
294	i have to agree with the previous reviewer	anecdotes miscellaneous	0
295	just got back from lunch at tamarind and it was excellent	food	1
296	go there to relax and feel like your somewhere else	anecdotes miscellaneous	1
297	get the soup and a nosh pastrami sandwich for and you are golden	price	1
298	service is fast and friendly	service	1
299	during our meal the management came over and checked on us and even bought us a round of drinks	service	1
300	highly recommend this as great value for excellent sushi and service	price	1
301	you should pass on the calamari	food	-1
302	i also ordered the change mojito which was out of this world	food	1
303	i am amazed by the poor reviews i find this place to be standout italian in an area flooded with italian great prices great atmosphere good service and a wonderful wine list	price	1
304	overall i was impressed and will return it is a great qpr quality to price ratio	price	1
305	i have waited over one hour for food	service	-1
306	disappointing food lousy service	food	-1
307	when we arrived at pm the restaurant was practically empty	anecdotes miscellaneous	0
308	the takeout menu says to keep an eye out for an expanded menu offering more italian dishes i can not wait	food	1
309	the food was just ok i would never go back	anecdotes miscellaneous	-1
310	the dim sum servings here are a bit larger than i am used to	food	0
311	the octopus eaters were floored by the octopus salad	food	1
312	most people eat there seem to be typical upper east side snobs so be aware	ambience	-1
313	this is a cute place and could be good but they need to get their act together	ambience	1
314	i do not get it either	anecdotes miscellaneous	-1
315	the rest of the dim sum though pricey by chinatown standards is worth it	food	1
316	i recommend the thai popcorn	food	1
317	my wife had the fried shrimp which are huge and loved it	food	1
318	i have enjoyed everything i have ever gotten and the fish is so fresh and always prepared in a great way	anecdotes miscellaneous	1
319	alain ducasse is the best of everything i mean everything was excelent i	anecdotes miscellaneous	1
320	you do not go to mizu for excellent service you go for the large amounts of food the amiable atmosphere and the hole in the wall feeling of the place	food	1
321	owner must have coem on this website to give himself credit	anecdotes miscellaneous	0
322	i recommend this spot to anyone who enjoys fine cuisine at reasonable prices	food	1
323	try it side by side and there no comparison	anecdotes miscellaneous	1
324	by far the best salad i have had in a fast food restaurant	food	1
325	the waiters are sweet the food is tasty and the bill is never too large	food	1
326	when we stumbled on leon we thought that we had found quite the gem but we were certainly wrong	anecdotes miscellaneous	-1
327	i went here with a friend on a whim we went someplace else first and could not get a table	anecdotes miscellaneous	0
328	i love this cozy around the way rest	ambience	1
329	the bill is approximately for at lunch without drinks	price	0
330	i had their eggs benedict for brunch which were the worst in my entire life i tried removing the hollondaise sauce completely that was how failed it was	food	-1
331	all i can say is pints during happy hour and the some of the cheapest oysters you ll find in the city though the quality is some of the best	food	1
332	delicious crab cakes too	food	1
333	i was a little leary about mary at first it is small crowded and you usually have to wait on line but i am glad i finally tried it	anecdotes miscellaneous	1
334	i would like to return and try some of the other menu items when i do not have to rush off to a show	food	1
335	the waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal	food	1
336	the environment is romantic but the food is horrible the service is pathetic and gabriella lies about everything she could	ambience	1
337	take a good sense of humor an american express card with no limit walk out with a lollipop gift bag in hand and enough marketing materials for alain to to take the show on the road	price	-1
338	i wish they had one near my office i would go everyday	anecdotes miscellaneous	1
339	yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken	ambience	-1
340	so the menu is written in chalk above your head and it all sounds delicious	ambience	1
341	i think the stuff was better than disney	service	1
342	my husband and i ate here after reading reviews here as well as hobokeni com	anecdotes miscellaneous	0
343	i only tried a simple dish of spinach ravioli in a light oil and garlic sauce but it actually faired better than most nyc italian joints i have tried similar dishes at	food	1
344	we were walking around the village and went into this place just for some drinks	anecdotes miscellaneous	0
345	the plain slice is great and if you get toppings the whole slice is topped with them not sparsely sprinkled on like some places	food	1
346	the pizza is delicious and the proprietor is one of the nicest in nyc	food	1
347	the food is delicious and beautifully prepared along with the friendly and personable service	service	1
348	do not waste your time or money	anecdotes miscellaneous	-1
349	it is a steal	price	1
350	it will be on my to do list the next visit to nyc	anecdotes miscellaneous	1
351	for dinner i had the chicken tikka masala and some garlic naan	food	0
352	this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time	service	1
353	great food good size menu great service and an unpretensious setting	ambience	1
354	not only was the food outstanding but the little perks were great	service	1
355	food was good not great not worth the wait or another visit	service	-1
356	great staff	service	1
357	someone else recommended the dessert we also left that	food	-1
358	both times i was extremely dissappointed by the service which was boarderline rude	service	-1
359	the photobook menu was a cute touch certainly helped my group and i pick the fried chicken pork chop and noodle dishes that we all ordered	food	1
360	unfortunately the food is outstanding but everything else about this restaurant is the pits	anecdotes miscellaneous	-1
361	i always get the shabu shabu dinner and the beef is always fresh	food	1
362	for two people with tip was less than bucks	price	1
363	it is one of our favorite places to eat in ny	anecdotes miscellaneous	1
364	while this is not classical restaurant fare the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn outs	food	1
365	however if you want great food at a great price and do not mind the decor you can not beat this place	price	1
366	do not go	anecdotes miscellaneous	-1
367	i recommend to anyone who wants to dress up and impress the lady	anecdotes miscellaneous	1
368	friendly staff that actually lets you enjoy your meal and the company you are with	service	1
369	everything a ny pizza joint should be	anecdotes miscellaneous	1
370	the service is not consistently excellent just decent	service	0
371	i am surprised about some of the bad reviews posted here i have been to tamarind about or times and always come away extremely satisfied and looking forward to returning	anecdotes miscellaneous	1
372	the menu prices are a bit expensive for what you get in quality and portion size	price	-1
373	aside from the sea urchin the chef recommended an assortment of fish including fatty yellow tail boton shrimp blue fin torro fatty tuna sea eel etc	food	0
374	i loved it and would go again	anecdotes miscellaneous	1
375	i thought i had died and gone to heaven	anecdotes miscellaneous	1
376	if the weather is nice try to snag an outside table	ambience	0
377	the neighborhood was nice though so check out another restaurant instead	anecdotes miscellaneous	-1
378	as always we had a great glass of wine while we waited	food	1
379	great spot whether looking for a couple of drinks or quiet dinner	ambience	1
380	the meat dishes were only so so	food	0
381	i recommend this place to everyone who asks me where to go for a good meal	anecdotes miscellaneous	1
382	the price is reasonable although the service is poor	service	-1
383	also specify if you like your food spicy its rather bland if you do not	food	0
384	our waiter was fine the place looks nice in that not trying too hard way but at those prices a little more should be expected of your food	food	-1
385	my friends and i experienced amazing cheese and a delicious new summer menu at artisanal last night	anecdotes miscellaneous	1
386	we did have to wait at the bar for approx	service	-1
387	cheese plate is a varied delight and great bargain at	price	1
388	this should have been done in a back room away from customers	anecdotes miscellaneous	-1
389	worth it for a special occasion or any time	anecdotes miscellaneous	1
390	consistently good japanese tapas	food	1
391	this is where the aforementioned line was	anecdotes miscellaneous	0
392	great eats good times	anecdotes miscellaneous	1
393	not worth the prices	price	-1
394	was there friday night	anecdotes miscellaneous	0
395	however i was there for a work dinner not long ago when my colleague from london noticed a very large waterbug on the ceiling	anecdotes miscellaneous	-1
396	we didn t get drink refills and she didn t even offer us the option of dessert	service	-1
397	the highly spiced chai tea was great too	food	1
398	after complaining about the chicken dish the manager came over to tell us that no one had ever complained before and that we just didn t know what the dish was supposed to taste like	food	-1
399	the food was amazing the service was so attentive and personable and how about that ambience	food	1
400	i had been a regular due to the consistently good food and ease of getting a table	service	1
401	the portions are now very small the sauces are overly ambitious usually inedible while the service is still good the restaurant due to its popularity seems frantic	food	-1
402	and i have been to many nyc delis	anecdotes miscellaneous	0
403	we will be back	anecdotes miscellaneous	1
404	kudos to po	anecdotes miscellaneous	1
405	we could only get through an appetizer and cheese fondue	anecdotes miscellaneous	0
406	so if you want a nice enjoyable meal at montparnasse go early for the pre theater prix fixe	food	1
407	no one asked what was wrong as we left with nothing touched on our plates	service	-1
408	it is to die for	anecdotes miscellaneous	1
409	i have been to joya twice and i will never go again	anecdotes miscellaneous	-1
410	an excellent alternative to fast food joints and ordering in but the food was slightly disappointing	food	-1
411	you are treated just like royality	service	1
412	my friends and i experienced amazing cheese and a delicious new summer menu at artisanal last night	food	1
413	i have ordered from the nd ave	anecdotes miscellaneous	0
414	try the pad thai it is fabulous and their prices are so cheap	food	1
415	yeah shanghai is also great but not quite as good they use the same amount of salt but without sweetness to balance out	anecdotes miscellaneous	0
416	it is like you are transported to the italian countryside very romantic and filled with antiques	ambience	1
417	deff recimmend bukhara they also have opened two new locations guess ill try them out	anecdotes miscellaneous	1
418	our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese	service	1
419	it took them minutes to bring our appetizer	service	-1
420	i am going back	anecdotes miscellaneous	1
421	the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon	price	1
422	after dinner take your date to the huge dance floor probably one of the biggest you ll see in ny	ambience	1
423	i understand the area and folks you need not come here for the romantic alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters you come for the authentic foods the tastes the experiance	food	1
424	we all had the tasting menu and unlike some of the other reviews i felt there was more than enough food	food	1
425	i was in love with pongsri on th but compared to suan it is slow in service and overpriced	service	-1
426	overall worht every penny	price	1
427	highly recommend this as great value for excellent sushi and service	food	1
428	i loved it and will be back soon	anecdotes miscellaneous	1
429	excellent dumplings served amid clean chic decor	food	1
430	big wong gets big ups for a fine establishment	ambience	1
431	it is very spicy but not offensive	food	0
432	i had lobster bisque it has oz of maine lobster in it	food	1
433	amazing	anecdotes miscellaneous	1
434	over time the food quality has decreased substantially it is a lot less crowded than it used to and the service must definitely be part of the reason	service	-1
435	thius is a must for anyone who loves shabu shabu	food	1
436	i have been to spice three times twice during lunch and once at dinner	anecdotes miscellaneous	0
