id	text	aspect	polarity
2630	what makes this restaurant special are the authentic sichuan cooking and being the only one in nyc that offers authentic chongqing hotpot	food	1
2631	very good wine choices	food	1
2632	we went to this restaurant based on prior internet comments	anecdotes miscellaneous	0
2633	the food is inventive but still keeps traditional indian flavoring	food	1
2634	if you were there when it first opened give this restaurant a second chance	anecdotes miscellaneous	1
2635	everything is always cooked to perfection the service is excellent the decor cool and understated	food	1
2636	for myself and family we would only go here to celebrate an occassion i do prefer smaller quiter restaurants	anecdotes miscellaneous	0
2637	while sapphire is certainly not lacking in ambiance and probably has the best decor of any indian restaurant i have been to in new york city the food was not what i had hoped for	food	-1
2638	we actually left hungry and went across the street to wo hop at mott street for some good chinese food	food	1
2639	i have dined at alain ducasse restaurant in monte carlo for half the price for the same excellent dining experience	price	1
2640	a little overpriced but worth it once you take a bite	food	1
2641	an excellent alternative to fast food joints and ordering in but the food was slightly disappointing	anecdotes miscellaneous	1
2642	growing up in ny i have eaten my share of bagels	anecdotes miscellaneous	0
2643	got club soda filled with ice no lime	service	-1
2644	murray will not do it	service	-1
2645	i stumbled upon this great pizzeria as i explored my new neighborhood	anecdotes miscellaneous	1
2646	great food at reasonable prices	food	1
2647	he takes real pride in his food and his business	service	1
2648	when my dessert came there was a candle in it not because anyone asked for one but because the waiter must have seen me opening my birthday card and gift and said he knew it was a special occassion of some sort	service	1
2649	after passing by this restaurant for sometime i finally decided to go in and have dinner	anecdotes miscellaneous	0
2650	they do cater to american palates but if you like it hot let them know and they are more than willing to oblige	service	1
2651	we went to eat at the jekyll and hyde restaurant on friday night and really enjoyed the fun atmosphere and good food	anecdotes miscellaneous	1
2652	not sure where the previous reviewer lonk dined but saul is in a great neighborhood and has great food	food	1
2653	prices are higher to dine in and their chicken tikka marsala is quite good	food	1
2654	great place to go for a drink too because they have kinds of beer	food	1
2655	the food is outstanding and the service is quick friendly and very professional	food	1
2656	we arrived on time for our reservation and seated promptly the	service	1
2657	check it out it will not hurt your stomach or your wallet	anecdotes miscellaneous	1
2658	for all of you new to indian food try the paneer roll it is a piece of heaven	food	1
2659	hey i think for a block walk ain t bad	anecdotes miscellaneous	0
2660	my personal favorite is an everything bagel with lox spread but all the bagles are unbeliavably good	food	1
2661	we left never to return	anecdotes miscellaneous	-1
2662	be sure to try the seasonal and always delicious specials	food	1
2663	first went here to enjoy their garden terrace	ambience	1
2664	my sister says it reminds her of a restaurant run by high school students who do not know what they are doing	anecdotes miscellaneous	-1
2665	make sure you have the spicy scallop roll	food	1
2666	price and quality of fish alone will keep us from making a return visit	price	-1
2667	as i made the title it is an affordable restaurant for great taste	price	1
2668	but people from sichuan will die for it chongqing hot pot chongqing was the biggest city of sichuan now became an independent province	anecdotes miscellaneous	1
2669	good food	food	1
2670	the service is fine and they allow you to enjoy the view	service	1
2671	very excited to hear that short term chef jason narone has moved on he truly was a low point of their sterling track record	anecdotes miscellaneous	-1
2672	a real dissapointment	anecdotes miscellaneous	-1
2673	and its absolutely delicious	food	1
2674	my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent	anecdotes miscellaneous	1
2675	but they do	anecdotes miscellaneous	0
2676	this lovely french asian fusion restaurant stands out amongst other great restaurants on smith street	anecdotes miscellaneous	1
2677	they do not walk around with the trays of dim sum	ambience	1
2678	pizza here is consistently good	food	1
2679	it was so bad i actually refused to pay for my food	anecdotes miscellaneous	-1
2680	cheese plate is a varied delight and great bargain at	food	1
2681	the desserts are more appealing then stuffy overpriced french restaurants	food	1
2682	i have never before eaten pieces of relatively good nigiri	anecdotes miscellaneous	0
2683	i have been in many restaurants all over the city and roth steakhouse has quickly become one of my favorites	anecdotes miscellaneous	1
2684	the place is so cool and the service is prompt and curtious	ambience	1
2685	what an amazing meal and experience	food	1
2686	the pesto pizza was excellent thin crust pizza with a nice amount of spicy italian cheese that i d never heard of before	food	1
2687	the puke green walls leave a lot to be desired but the food is very good	ambience	-1
2688	but the thai is definitely not great bland and indistinguished	food	-1
2689	the only other steakhouse that seems to hold a candle to roth is the strip house	anecdotes miscellaneous	0
2690	you can barely see who you are with never mind have a conversation	ambience	-1
2691	good music great food speedy service affordable prices	service	1
2692	i liked the beer selection	food	1
2693	my only problem is that you are literally sitting on top of the people next to you	ambience	-1
2694	too cold to enjoy	ambience	-1
2695	i recommend the garlic shrimp okra bindi and anything with lamb	food	1
2696	my entire family was horrified	anecdotes miscellaneous	-1
2697	the pickles were great addition	food	1
2698	his drinks are very inventive delicious and classy	food	1
2699	we were also seated promptly at the time of our reservation and the service was very quick and professional	service	1
2700	the food is nothing like its menu description	food	-1
2701	the halibut was too salty dessert was so so do not waste any of your calories and service was poor	food	-1
2702	everything is delicious though my gf and i come here once a week sometimes you will get addicted	anecdotes miscellaneous	1
2703	pizza the only pizza in nyc that should not have additional toppings the crust tastes like the best freshly baked bread	food	1
2704	our agreed favorite is the orrechiete with sausage and chicken usually the waiters are kind enough to split the dish in half so you get to sample both meats	service	1
2705	just remember the later you go the longer you may have to wait	anecdotes miscellaneous	0
2706	so garantuan that you can not fit them in a toaster	food	1
2707	yes they use fancy ingredients but even fancy ingredients do not make for good pizza unless someone knows how to get the crust right	food	-1
2708	delicate spices onions eggs and a kick ass roti	food	1
2709	food was ok fish was cooked well	food	1
2710	the crust is thin the ingredients are fresh and the staff is friendly	service	1
2711	their eggplant is so delicate sweet tender	food	1
2712	the menu changed portions were even smaller than before a lentil dish was salty beyond edibility a basmati rice dish lacked flavor	food	-1
2713	really tasty spring rolls and noodles for a good price though	food	1
2714	i have eaten at many different indian restaurants	anecdotes miscellaneous	0
2715	i love this place	anecdotes miscellaneous	1
2716	wont come back again for sure	anecdotes miscellaneous	-1
2717	you will not be disapointed at all	anecdotes miscellaneous	1
2718	the staff makes you feel at home the food is great and the atmosphere is wonderful	food	1
2719	this place must have cost the owners afortune to build	anecdotes miscellaneous	-1
2720	the strong scents coming from the left and right of me negatively affected my taste buds	anecdotes miscellaneous	-1
2721	it is charmingly small and that leads to an atmoshere that is extremely cozy and romantic even	ambience	1
2722	stick to the gulab jamun	food	1
2723	check it out it will not hurt your stomach or your wallet	food	1
2724	eat club is a roving group of nyc gluttons	anecdotes miscellaneous	0
2725	great wine list italian good food service was initially fine	food	1
2726	toons has recently been redone so it is now a very attractive space	ambience	1
2727	looking around i saw a room full of new yorkers enjoying a real meal in a real restaurant not a clubhouse of the fabulous trying to be seen	ambience	1
2728	service was very good prompt attentive and non intrusive	service	1
2729	stick to dimsum not super overpriced noodles	price	-1
2730	my mouth starts to water merely thinking about the delight that is this restaurant	food	1
2731	we went around on a friday and it had died down a bit by then so the service was great	service	1
2732	uni from maine vs california sea vs freshwater eel to get a good taste comparison	anecdotes miscellaneous	0
2733	this is such a lovely peaceful place to eat outside	ambience	1
2734	overall a oh ya even though there is waiting it is deff worth it	anecdotes miscellaneous	1
2735	i came here with my boyfriend for our anniversary because it was highly recommended to him by a friend	anecdotes miscellaneous	0
2736	if the omakase is to showcase technique and variety serving almost of items bbq ed and a spicy tuna roll wrapped with not so fresh nori seems to be a rather limp performance	food	-1
2737	all of the pizzas are terrific and the price is even better	food	1
2738	the menu was impressive with selections ranging from a burger to steak to escargot	food	1
2739	i have eaten a lot of pizza here	anecdotes miscellaneous	0
2740	the anti pasta was excellent especially the calamari as were the filling pasta mains	food	1
2741	meanwhile the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil gratis	food	1
2742	while the entree range is not overly expensive in new york city there is definitely better food in that range and so sapphire despite it is lovely atmosphere will most likely not be a restaurant to which i will return	price	1
2743	disappointing food lousy service	service	-1
2744	the prices are exceptionally reasonable for food of this caliber	price	1
2745	great food at reasonable prices	price	1
2746	my wife and i ate here earlier this week and have not stopped ranting and raving about the food	anecdotes miscellaneous	1
2747	not a small feat for good french food in the area	food	1
2748	wine list selection is good and wine by the glass was generously filled to the top	food	1
2749	we were exploring grand central and didn t want to eat in the food court	anecdotes miscellaneous	0
2750	the noodle and rices dishes taste great	food	1
2751	will absolutely visit again	anecdotes miscellaneous	1
2752	will give it another chance before i write it off	anecdotes miscellaneous	0
2753	i was very impressed by this low key upper eastsider and their authentically thai cuisine	food	1
2754	chennai garden is my favorite indian restaurant in the city	anecdotes miscellaneous	1
2755	i have been a longtime fan of holy basil in the east village and while i do believe their food has slightly slipped in quality i have been hesitant to be disloyal	food	-1
2756	the dishes offered were unique very tasty and fresh from the lamb sausages sardines with biscuits large whole shrimp to the amazing pistachio ice cream the best and freshest i have ever had	food	1
2757	the seats are uncomfortable if you are sitting against the wall on wooden benches	ambience	-1
2758	i was with a party of close but not next the the front doors and we were eating with our coats on	ambience	-1
2759	the only fallback on this restaurant is the prices	price	-1
2760	when we left at pm it was packed and noisy	anecdotes miscellaneous	0
2761	conveniently located too being right on bedford ave	anecdotes miscellaneous	1
2762	i love this place	anecdotes miscellaneous	1
2763	hats off to the chef	food	1
2764	i have read some of the previews reviews people are either not new yorkers or have more appreciation for ambience then food	anecdotes miscellaneous	0
2765	delicious food excellent service and a pretty atmosphere make this a great choice for dinner and the lunch buffet makes it an even better choice for lunch	price	1
2766	a guaranteeed delight	anecdotes miscellaneous	1
2767	its a nice quiet location to go eat a good meal relax be able to talk and have a very good time	ambience	1
2768	the wine list is interesting and has many good values	food	1
2769	i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork	food	1
2770	this is the kind of place you d like to take all your friends to and still keep a secret	anecdotes miscellaneous	1
2771	i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion	anecdotes miscellaneous	0
2772	it appears to be the owner first venture and it shows	anecdotes miscellaneous	-1
2773	great wine selection gigondas is worth the price and the house champagne is a great value	food	1
2774	my friend got the mushroom pizza which tasted better	food	1
2775	went on a double date with friend and his girlfriend for a few drinks and appetizers	anecdotes miscellaneous	0
2776	while most people can attest to spending over on drinks in new york bars and hardly feeling a thing the drinks here are plentiful and unique	price	-1
2777	not the typical nyc gimmick theme restaurant	ambience	1
2778	we were well attended to by the enthusiastic staff especially the manager tony gaskin who made excellent suggestions for our menu selections	service	1
2779	from the appetizers we ate the dim sum and other variety of foods it was impossible to criticize the food	food	1
2780	if you are looking for a place to sit down have a drink and conversations with friends go to sweet n tart and order yourself a hong kong styled milk and tea with tapioca pearls hot	ambience	1
2781	good spreads great beverage selections and bagels really tasty	food	1
2782	the servers give you some sample slices of your order while you wait shortly i might add	service	1
2783	the restaraurant is very small so reservations are a must	anecdotes miscellaneous	0
2784	the staff is incredibly helpful and attentive	service	1
2785	we live in new jersey and whenever we go into new york city we buy bagels to eat hot and then to freeze they told me that if i call in the order they d bring it out to the car so i wouldn t have to look for parking	service	1
2786	sake collection was excellent try nanbu bijin but pricy	price	-1
2787	for being number this place has alot of work to do in order to truly earn its so called reputation	anecdotes miscellaneous	-1
2788	i loving bringing friends here and i do so every chance i get	anecdotes miscellaneous	1
2789	went on a day oyster binge with fish bringing up the closing and i am so glad this was the place it o trip ended because it was so great	anecdotes miscellaneous	1
2790	for many people this may not seem like aunthentic thai food because most places in nyc arent quite authentic	food	-1
2791	delicious food excellent service and a pretty atmosphere make this a great choice for dinner and the lunch buffet makes it an even better choice for lunch	ambience	1
2792	service and food is what any one would expect when spending that type of money	food	0
2793	honestly the worst sushi my husband and i had in our entire lives	food	-1
2794	the sushi is average and the prices are anything but	food	0
2795	you have to increase the service a lot	service	-1
2796	i really loved the different and inovated touch that is the cheff gives to the food	food	1
2797	the food there is so good that even to order out the wait is incredible	service	-1
2798	pick a bagel has the best bagels in the city	food	1
2799	we come from new jersey to eat at kinoko	anecdotes miscellaneous	0
2800	best of all is the warm vibe the owner is super friendly and service is fast	ambience	1
2801	this place is a great bargain	price	1
2802	pizza was a little soggy	food	-1
2803	the food has been consistant for years and it never lets you down	food	1
2804	they live up to the thai way of living	anecdotes miscellaneous	0
2805	i was at rao last wed	anecdotes miscellaneous	0
2806	authentic shanghai style and i can not recommend a better shanghai place in new york	ambience	1
2807	there are much better places in ny with better prices	price	-1
2808	i am told that it is open hrs which is good	anecdotes miscellaneous	1
2809	as soon as i wake up on a saturday or sunday it is the first thing on my mind is when and how i will be getting to fried dumpling	anecdotes miscellaneous	1
2810	it is not consistent	anecdotes miscellaneous	-1
2811	edible but really a ripoff at those prices given whats in the area	food	0
2812	a little crowded but they move that line really fast	ambience	-1
2813	my husband and i both ordered the steak medium	food	0
2814	the price is reasonable although the service is poor	price	1
2815	at we were the third party there	anecdotes miscellaneous	0
2816	the ambience is pretty and nice for conversation so a casual lunch here would probably be best	ambience	1
2817	we are very particular about sushi and were both please with every choice which included ceviche mix special crab dumplings assorted sashimi sushi and rolls two types of sake and the banana tempura	food	1
2818	joe pizza used to have the best slice until this pizzeria opened up	anecdotes miscellaneous	1
2819	delivery service is great too	service	1
2820	the freshest best variety and the fastest delivery	service	1
2821	the real kicker of the menu however is the beef cubes or the chicken with chili and lemon grass	food	1
2822	it is a nice place to relax and have conversation	ambience	1
2823	while it is not nobu it sure is a great deal and you definitely will leave feeling satisfied and full	anecdotes miscellaneous	1
2824	lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there	anecdotes miscellaneous	0
2825	the best chicken pad tai i have ever had	food	1
2826	the space is nice but when we order our drink we were in for a surprise	anecdotes miscellaneous	0
2827	less wait time for me	service	1
2828	by far this is the only chinese desserts place i know in ny or anywhere close in the northeastern america that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar	food	1
2829	the food came out wrong the waiter was no where to be found and the wine showed up at the end of the meal	service	-1
2830	so if you want a nice enjoyable meal at montparnasse go early for the pre theater prix fixe	price	1
2831	the second you walk through the heavy vault like door with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime	service	1
2832	get it together	anecdotes miscellaneous	-1
2833	the one on the east side is much better than the one on the west side	anecdotes miscellaneous	0
2834	i almost wanted to write a bad review so no one would ever go here and i could have all the dumplings to myself	food	1
2835	ive passed by the spot tons of times always wanting to go in	anecdotes miscellaneous	0
2836	much more reasonably priced too	price	1
2837	the staff offers impeccable service	service	1
2838	plenty of choices to make your own creation	food	1
2839	this place is amazingly bad	anecdotes miscellaneous	-1
2840	deep fried skewers are good and still rare to find in nyc	food	1
2841	bottom line b for the food f for the service	food	1
2842	i really like both the scallops and the mahi mahi on saffron risotto yum	food	1
2843	when asked about how a certain dish was prepared in comparison to a similar at other thai restaurants he replied this is not mcdonald every place makes things differently while it is understandable that every place is indeed different there was not a need to be uncourteous to customers and downright rude	anecdotes miscellaneous	-1
2844	this place has good potential but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else	anecdotes miscellaneous	-1
2845	although the tables may be closely situated the candle light food quality and service overcompensate	service	1
2846	and the fried clams had just enough kick to them to make em worth eating	food	1
2847	the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan	food	1
2848	the ambience was so fun and the prices were great on top of the fact that the food was really tasty	price	1
2849	prices are in line	price	0
2850	we parked on the block of nina the place looked nice with people obviously enjoying their pizzas	food	1
2851	for the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being seated	service	-1
2852	great neighborhood joint	anecdotes miscellaneous	1
2853	the entertainment was great they have shows that go on through out the dinner	ambience	1
2854	the dish had like pieces of beef in it	food	0
2855	bottom line b for the food f for the service	service	-1
2856	he takes real pride in his food and his business	food	1
2857	yeah the crowd can take it a bit seriously but it shouldn t	anecdotes miscellaneous	0
2858	amma has the worst value for money i have experienced in nyc over the past years	price	-1
2859	drinks way over priced	price	-1
2860	what makes this restaurant special are the authentic sichuan cooking and being the only one in nyc that offers authentic chongqing hotpot	anecdotes miscellaneous	1
2861	another welcome addition to the neighborhood	anecdotes miscellaneous	1
2862	but this place is a well oiled machine so they know what they are doing	anecdotes miscellaneous	1
2863	also the sandwiches nearing didn t come with anything like chips or a side	price	-1
2864	the last two times i ordered from here my food was soo spicy that i could barely eat it and the spice took away from the flavor of the dish	food	-1
2865	the food came out wrong the waiter was no where to be found and the wine showed up at the end of the meal	food	-1
2866	you order from a menu so you leave feeling like you missed the full experience	anecdotes miscellaneous	-1
2867	all conveniently delivered right to the door	service	1
2868	sauce was watery and the food didn t have much flavor	food	-1
2869	we usually go to the chart house to celebrate a birthday or anniversary	anecdotes miscellaneous	0
2870	the food was authentic	food	1
2871	the waiters were not attentive except that the bill turned up on the table before we were finished	service	-1
2872	best reuben sandwich ever	food	1
2873	the chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry inedible chicken with terrible sauce	food	-1
2874	the service was attentive and her suggestions of menu items was right on the mark	service	1
2875	overall a oh ya even though there is waiting it is deff worth it	service	-1
2876	for dessert we split chocolate cake and vanilla gelato with espresso which were tasty but i thought a bit overpriced	price	-1
2877	very romantic fires i have literally spent hours at lanterna drinking wine from their extensive wine and enjoying the ambience	ambience	1
2878	i had been a regular due to the consistently good food and ease of getting a table	anecdotes miscellaneous	1
2879	after tries by the waiter to take it away we hadn t even looked at it yet we had full beers yet to drink the manager approached and told us they needed the table for people with reservations	service	-1
2880	a gentleman maybe the manager came to our table and without so much as a smile or greeting asked for our order	service	-1
2881	the food is fresh delicious and reasonably priced	food	1
2882	we love the food drinks and atmosphere	ambience	1
2883	this was a repeat visit and we ll definitely be back again	anecdotes miscellaneous	1
2884	quite frankly this is some of the worst sushi i have ever tried	food	-1
2885	the prix fixe menu is worth every penny and you get more than enough both in quantity and quality	food	1
2886	while this is a pretty place in that overly cute french way the food was insultingly horrible	food	-1
2887	jimmy is hands down the hottest night spot in the bronx	ambience	1
2888	definite go if you are used to good indian restaurant food from abroad	food	1
2889	i have been there a few times and i usually end up sitting next to some pretty odd people	anecdotes miscellaneous	-1
2890	found service above average but that could be because we were of us	anecdotes miscellaneous	1
2891	rao has the best service and atmosphere in nyc	service	1
2892	i have been to casimir over times and i have always had a great time there	anecdotes miscellaneous	1
2893	they were such a rip off for four small meat patties in steamed buns and not worth trying	price	-1
2894	we ended the dinner with a surprisingly light and flaky apple tarte tatin	food	1
2895	outstanding bagels but you get what you pay for	food	1
2896	very affordable and excellent ambient	price	1
2897	the atmosphere is not the greatest but i suppose that is how they keep the prices down	price	1
2898	all the appetizers and salads were fabulous the steak was mouth watering and the pasta was delicious	food	1
2899	such nice people working here but i have to review the food	service	1
2900	the food is uniformly exceptional with a very capable kitchen which will proudly whip up whatever you feel like eating whether it is on the menu or not	food	1
2901	super friendly and knowledgable staff fabulous bistro fare and a wonderful jazz brunch with great live jazz the chilaquiles were awesome	food	1
2902	all the food was excellent considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it	food	1
2903	the service wine selection ambiance are all outstanding and deserve recognition	food	1
2904	i started out with a bombay beer which was big enough for two	food	1
2905	succulent steaks cooked precisely to your desired doneness accompanied by salads and sides that do not look like leafy road kill	food	1
2906	in reality to maximize potential diners they were still taking phone reservations and reallocating tables of those waiting in the lobby	service	-1
2907	i do not like indian food too much and this was delicious however you want to factor that into the equation	food	1
2908	if you go to roth try to be served by mike he is great	service	1
2909	our first time in new york and we had to try a new york bagel	anecdotes miscellaneous	0
2910	i am indian and i have tried many indian places in ny	anecdotes miscellaneous	0
2911	overall i am still impressed that the place even exists and the prices are quite decent but then again its chinatown	anecdotes miscellaneous	0
2912	we made early dinner reservations and were thoroughly impressed reminds me of my grandfather its old school italian scenery with lots of fun stuff to admire	ambience	1
2913	and they provided a delicious dessert on the house	food	1
2914	decor is nice though service can be spotty	ambience	1
2915	food is great and inexpensive	price	1
2916	i was here a few weeks back and we had the worst customer service experience at a restaurant ever	service	-1
2917	its an excellent place to relax and the food is one of the best in the city of new york	food	1
2918	one of my favorite places in manhattan	anecdotes miscellaneous	1
2919	the flavors are great and the menu is extensive	food	1
2920	has the chef and owner changed	service	0
2921	the wine list is not great and the desserts are shipped in from bruno down the street which is not as good as it used to be	food	-1
2922	i found the variety of the sashimi plate to be satisfying fresh and yummy	food	1
2923	he has visited thailand and is quite expert on the cuisine	food	1
2924	the crispy chicken was not for us though	food	-1
2925	both are delicious the cooks are friendly and are willing to take a moment and speak to you and shake your hand	service	1
2926	the place itself is beautiful the bar scene seems to be happening	ambience	1
2927	the food served in small tasting portions as an option is very good with each dish being better than the next	food	1
2928	the pizza is yummy and i like the atmoshpere	ambience	1
2929	too bad latin quarters closed	anecdotes miscellaneous	0
2930	the food here is rather good but only if you like to wait for it	service	-1
2931	i highly recommend the sophia pizza	anecdotes miscellaneous	1
2932	whoever the jazz duo was they were on point	ambience	1
2933	the decor in this place is very diner ish and the kind of place you expect in the east village not romantic just simple small and sparse	ambience	1
2934	katz has been a nyc original for over years	anecdotes miscellaneous	1
2935	we actually left hungry and went across the street to wo hop at mott street for some good chinese food	anecdotes miscellaneous	-1
2936	the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect	ambience	1
2937	but for each small piece	price	-1
2938	obviously run by folks who know a pie	service	1
2939	they brought glasses and the bottle and just left the bottle at our table	service	-1
2940	the atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon	ambience	1
2941	it is a much more grown up restaurant compared to the rest of the street	ambience	0
2942	chinese desserts are known for healthful benefits in addition to the sweetness	food	1
2943	the fried dumplings are great	food	1
2944	i was glad i did	anecdotes miscellaneous	1
2945	while they keep the capex to a minimum they do put some cash into the bagels because they among the best in the city	food	1
2946	they could not even make a salad that was appealing	food	-1
2947	if you are looking for a great meal at a decent price go to del frisco	price	1
2948	i do not know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer	anecdotes miscellaneous	-1
2949	the staff ignored my friends and i the entire time we were there	service	-1
2950	if you live outside the neighborhood do not bother	anecdotes miscellaneous	-1
2951	their coffee is quite good too	food	1
2952	a restaurant that does not try to do anything except serve great food with great service in a pleasant atmosphere	ambience	1
2953	bring your appetites	anecdotes miscellaneous	0
2954	would definitely visit again	anecdotes miscellaneous	1
2955	my boyfriend and i recently had an early dinner at artisanal and was satisfied with our experience	anecdotes miscellaneous	1
2956	best pastrami i ever had and great portion without being ridiculous	food	1
2957	eating in the atmosphere saves it but at your desk it is a very disappointing experience	ambience	1
2958	the singapore mai fun had no curry flavor whatsoever	food	-1
2959	if you go here your focus should be the tamarind margaritas	food	1
2960	wonderful strawberry daiquiries as well	food	1
2961	the place is a bistro which means simple dishes and wine served efficiently in a bustling atmosphere	food	1
2962	it is by far my favorite restaurant in brooklyn	anecdotes miscellaneous	1
2963	i plan on eating here more often	anecdotes miscellaneous	1
2964	and evaluated on those terms pastis is simply wonderful	anecdotes miscellaneous	1
2965	the service is outstanding and my crab cake eggs benedict could not have been better	food	1
2966	decor is minimalist and clean nothing to distract or commend	ambience	0
2967	the waiter actually poured water on my hand and walked away	service	-1
2968	some baby pizzas get their wish	food	0
2969	if you are a vegetarian this really is not a good place to go	anecdotes miscellaneous	-1
2970	on a monthly basis my friends and i get together and have a girls night out	anecdotes miscellaneous	0
2971	the highlight of the night was the mayonaisse for my side of fries i received from one of the food runners which is not good considering the bill was nearly	price	-1
2972	the pizza is overpriced and soggy	price	1
2973	tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price	food	1
2974	the portions are now very small the sauces are overly ambitious usually inedible while the service is still good the restaurant due to its popularity seems frantic	service	1
2975	stay away from the latter since you will not go for seconds hint hint	food	-1
2976	there is also very limited seating and there can be a substantial wait in getting food at peak times	ambience	-1
2977	but the thing that my wife and i hated was it was so loud and it felt like bar or pub	ambience	-1
2978	it is about food and ambiance and imagine how dreadful it will be it we only had to listen to an idle engine	food	-1
2979	i am relatively new to the area and tried pick a bgel on nd and was disappointed with the service and i thought the food was overated and on the pricey side	price	-1
2980	i would highly recommend this place to anyone who is looking for a fine indian dining experience that is definitely a value for your dollar	food	1
2981	the atmosphere is great	ambience	1
2982	the other night we had the three course meal and everything was delicious if i could of licked the plate clean i would of	food	1
2983	it was so bad i actually refused to pay for my food	food	-1
2984	faan got a great concept but a little rough on the delivery	anecdotes miscellaneous	1
2985	i have noticed megadeth mr scruff st germain traditional vietnamese songs black sabbath jay z and daft punk all being played	ambience	0
2986	a large is and toppings are about each	price	-1
2987	also because it is so thin it gets cold very quickly and its not that filling	food	-1
2988	the selection changes frequently but the basic dishes are always available	food	0
2989	i recieved prompt service with a smile	service	1
2990	took my sister here before attending a show one evening	anecdotes miscellaneous	0
2991	all i can say is pints during happy hour and the some of the cheapest oysters you ll find in the city though the quality is some of the best	price	1
2992	taj mahal offeres gret value and great food	price	1
2993	both the fresh mozzerella slices and the plain cheese slice are phenomenal	food	1
2994	veal parmigana better than patsy	food	1
2995	always a nice crowd but never loud	ambience	1
2996	they treated us well and the food was extremely fresh and well prepared	food	1
2997	it just was not thai	anecdotes miscellaneous	-1
2998	having discovered ping on the internet we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in	ambience	1
2999	sure the setting is nice	ambience	1
3000	steamed fresh so brought hot hot hot to your table	food	1
3001	our server checked on us maybe twice during the entire meal	service	-1
3002	this was a great surprise	anecdotes miscellaneous	1
3003	i do not usually order wine with indian so i can not comment on their wine list or their wines	food	0
3004	everything from the soft bread soggy salad and minute wait time with an incredibly rude service to deliver below average food	food	-1
3005	prices are very good	price	1
3006	my boyfriend and i were in ny for a few days and pastis was a place that came recommended	anecdotes miscellaneous	0
3007	i ordered tamarind duck and my wife ordered noodles with ground beef and we were both delighted by the way the dishes evoked thai flavors in unexpected ways	food	1
3008	the aesthetics of this place are like an airport lounge	ambience	-1
3009	oh yes and they lie on the phone claiming they have seating in the garden then of course the seats are not available	service	-1
